Difficulty,Category,Word,Korean,Status
Sprout,Kitchenware,kettle,주전자,Missing
Sprout,Jobs,hairdresser,미용사,Missing
Sprout,Jobs,actor,배우,Missing
Sprout,Jobs,veterinarian,수의사,Missing
Sprout,Jobs,fisherman,어부,Missing
Sprout,Jobs,postman,우체부,Missing
Sprout,Jobs,athlete,운동선수,Missing
Sprout,Jobs,driver,드라이버,Missing
Sprout,Jobs,baker,제빵사,Missing
Sprout,Vegetables,eggplant,가지,Missing
Sprout,Vegetables,perilla_leaves,깻잎,Missing
Sprout,Vegetables,green_onion,대파,Missing
Sprout,Vegetables,radish,무,Missing
Sprout,Vegetables,cherry_tomatoes,방울토마토,Missing
Sprout,Vehicles,carriage,마차,Missing
Sprout,Vehicles,sled,썰매,Missing
Sprout,Vehicles,spaceship,우주선,Missing
Sprout,Vehicles,submarine,잠수함,Missing
Sprout,Vehicles,taxi,택시,Missing
Sprout,Vehicles,truck,트럭,Missing
Sprout,Vehicles,excavator,포크레인,Missing
Sprout,Action_Behavior,take_out_it,꺼내,Missing
Sprout,Action_Behavior,nod_head,끄덕여,Missing
Sprout,Action_Behavior,fall_down_it,넘어져,Missing
Sprout,Action_Behavior,sing_it,노래해,Missing
Sprout,Action_Behavior,release,놓아,Missing
Sprout,Action_Behavior,lie_it,누워,Missing
Sprout,Action_Behavior,press_it,눌러,Missing
Sprout,Action_Behavior,wipe_it,닦아,Missing
Sprout,Action_Behavior,put_in,담아,Missing
Sprout,Action_Behavior,answer_it,대답해,Missing
Sprout,Action_Behavior,flee,도망쳐,Missing
Sprout,Action_Behavior,help_me,도와줘,Missing
Sprout,Action_Behavior,spin,돌려,Missing
Sprout,Action_Behavior,hit_it,때려,Missing
Sprout,Action_Behavior,drop,떨어져,Missing
Sprout,Action_Behavior,make_it,만들어,Missing
Sprout,Action_Behavior,touch_it,만져,Missing
Sprout,Action_Behavior,bite,물어,Missing
Sprout,Action_Behavior,sorry,미안해,Missing
Sprout,Action_Behavior,hate_you,미워해,Missing
Sprout,Action_Behavior,receive_it,받아,Missing
Sprout,Action_Behavior,call_out,불러,Missing
Sprout,Action_Behavior,paste,붙여,Missing
Sprout,Action_Behavior,borrow_it,빌려,Missing
Sprout,Action_Behavior,suck_it,빨아,Missing
Sprout,Action_Behavior,kiss_it,뽀뽀해,Missing
Sprout,Action_Behavior,love_you,사랑해,Missing
Sprout,Action_Behavior,swallow_it,삼켜,Missing
Sprout,Action_Behavior,blend,섞어,Missing
Sprout,Action_Behavior,hide_it,숨어,Missing
Sprout,Action_Behavior,wear_shoes,신어,Missing
Sprout,Action_Behavior,dislike_it,싫어해,Missing
Sprout,Action_Behavior,fight_it,싸워,Missing
Sprout,Action_Behavior,spill,쏟아,Missing
Sprout,Action_Behavior,pet,쓰다듬어,Missing
Sprout,Action_Behavior,chew_it,씹어,Missing
Stem,Furniture_Appliances,rice_cooker,밥솥,Missing
Stem,Furniture_Appliances,cushion,방석,Missing
Stem,Furniture_Appliances,blinds,블라인드,Missing
Stem,Furniture_Appliances,broom,빗자루,Missing
Stem,Furniture_Appliances,kitchen_knife,식칼,Missing
Stem,Furniture_Appliances,dining_chair,식탁의자,Missing
Stem,Furniture_Appliances,dustpan,쓰레받기,Missing
Stem,Furniture_Appliances,picture_frame,액자,Missing
Stem,Furniture_Appliances,oven,오븐,Missing
Stem,Furniture_Appliances,dish_detergent,주방세제,Missing
Stem,Furniture_Appliances,tongs,집게,Missing
Stem,Furniture_Appliances,bookshelf,책장,Missing
Stem,Furniture_Appliances,carpet,카펫,Missing
Stem,Furniture_Appliances,curtain,커튼,Missing
Stem,Furniture_Appliances,coffee_pot,커피포트,Missing
Stem,Furniture_Appliances,toaster,토스터기,Missing
Stem,Furniture_Appliances,flower_pot,화분,Missing
Stem,Furniture_Appliances,dressing_table,화장대,Missing
Stem,Furniture_Appliances,rocking_chair,흔들의자,Missing
Stem,Emotion_Psychology,decide,결정하다,Missing
Stem,Emotion_Psychology,worry,고민하다,Missing
Stem,Emotion_Psychology,it_s_painful,괴롭다,Missing
Stem,Emotion_Psychology,i_m_curious,궁금하다,Missing
Stem,Emotion_Psychology,it_s_annoying,귀찮다,Missing
Stem,Emotion_Psychology,expect,기대하다,Missing
Stem,Emotion_Psychology,amazing,놀랍다,Missing
Stem,Emotion_Psychology,it_s_frustrating,답답하다,Missing
Stem,Emotion_Psychology,i_m_embarrassed,부끄럽다,Missing
Stem,Emotion_Psychology,i_m_jealous,부럽다,Missing
Stem,Emotion_Psychology,excited,신나다,Missing
Stem,Emotion_Psychology,i_m_bored,심심하다,Missing
Stem,Emotion_Psychology,it_s_unfair,억울하다,Missing
Stem,Emotion_Psychology,fun,재미있다,Missing
Stem,Emotion_Psychology,boring,지루하다,Missing
Stem,Emotion_Psychology,annoying,짜증나다,Missing
Stem,Emotion_Psychology,i_m_tired,피곤하다,Missing
Stem,Insects,cockroach,바퀴벌레,Missing
Stem,Insects,firefly,반딧불이,Missing
Stem,Insects,wart,사마귀,Missing
Stem,Insects,stag_beetle,사슴벌레,Missing
Stem,Insects,caterpillar,애벌레,Missing
Stem,Insects,rhinoceros_beetle,장수풍뎅이,Missing
Stem,Fruits,mango,망고,Missing
Stem,Fruits,quince,모과,Missing
Stem,Fruits,apricot,살구,Missing
Stem,Fruits,plums,자두,Missing
Stem,Fruits,kiwi,키위,Missing
Stem,Weather,fog,안개,Missing
Stem,Weather,thunder,천둥,Missing
Stem,Weather,sunlight,햇빛,Missing
Stem,Pronoun_Conjunction,suddenly,갑자기,Missing
Stem,Pronoun_Conjunction,almost,거의,Missing
Stem,Pronoun_Conjunction,besides,게다가,Missing
Stem,Pronoun_Conjunction,in_the_end,결국,Missing
Stem,Pronoun_Conjunction,never,절대,Missing
Stem,Pronoun_Conjunction,by_all_means,꼭,Missing
Stem,Pronoun_Conjunction,again,다시,Missing
Stem,Pronoun_Conjunction,really,정말,Missing
Stem,Pronoun_Conjunction,so,그래서,Missing
Stem,Pronoun_Conjunction,but,그러나,Missing
Stem,Pronoun_Conjunction,then,그러면,Missing
Stem,Pronoun_Conjunction,and,그리고,Missing
Stem,Pronoun_Conjunction,if,만약,Missing
Stem,Pronoun_Conjunction,because,왜냐하면,Missing
Stem,Tools_Machines,humidifier,가습기,Missing
Stem,Tools_Machines,battery,건전지,Missing
Stem,Tools_Machines,air_purifier,공기청정기,Missing
Stem,Tools_Machines,stove,난로,Missing
Stem,Tools_Machines,magnifying_glass,돋보기,Missing
Stem,Tools_Machines,driver,드라이버,Missing
Stem,Tools_Machines,mouse,마우스,Missing
Stem,Tools_Machines,telescope,망원경,Missing
Stem,Tools_Machines,hammer,망치,Missing
Stem,Tools_Machines,monitor,모니터,Missing
Stem,Tools_Machines,nail,못,Missing
Stem,Tools_Machines,shovel,삽,Missing
Stem,Tools_Machines,stapler,스테이플러,Missing
Stem,Tools_Machines,speaker,스피커,Missing
Stem,Tools_Machines,thumbtack,압정,Missing
Stem,Tools_Machines,key,열쇠,Missing
Stem,Tools_Machines,earphones,이어폰,Missing
Stem,Tools_Machines,lock,잠그다,Missing
Stem,Tools_Machines,syringe,주사기,Missing
Stem,Tools_Machines,cane,지팡이,Missing
Stem,Tools_Machines,charger,충전기,Missing
Stem,Animals,hedgehog,고슴도치,Missing
Stem,Animals,camel,낙타,Missing
Stem,Animals,lizard,도마뱀,Missing
Stem,Animals,viper,독사,Missing
Stem,Animals,toad,두꺼비,Missing
Stem,Animals,owl,부엉이,Missing
Stem,Animals,starfish,불가사리,Missing
Stem,Animals,pigeon,비둘기,Missing
Stem,Animals,shrimp,새우,Missing
Stem,Animals,otter,수달,Missing
Stem,Animals,parrot,앵무새,Missing
Stem,Animals,squid,오징어,Missing
Stem,Animals,clam,조개,Missing
Stem,Animals,sparrow,참새,Missing
Stem,Animals,ostrich,타조,Missing
Stem,Animals,pelican,펠리컨,Missing
Stem,Animals,hippocampus,해마,Missing
Stem,Animals,jellyfish,해파리,Missing
Stem,People,man,남자,Missing
Stem,People,old_man,노인,Missing
Stem,People,guest,손님,Missing
Stem,Society_Culture,hometown,고향,Missing
Stem,Society_Culture,country,국가,Missing
Stem,Society_Culture,anniversary,기념일,Missing
Stem,Society_Culture,school_trip,수학여행,Missing
Stem,Society_Culture,etiquette,예절,Missing
Stem,Society_Culture,address,주소,Missing
Stem,State_Expression,cleanly,깨끗하게,Missing
Stem,State_Expression,tight,꽉,Missing
Stem,State_Expression,low,낮게,Missing
Stem,State_Expression,height,높이,Missing
Stem,State_Expression,all,다,Missing
Stem,State_Expression,dirty,더러워,Missing
Stem,State_Expression,a_lot,잔뜩,Missing
Stem,State_Expression,far_away,멀리,Missing
Stem,State_Expression,nicely,멋지게,Missing
Stem,State_Expression,secretly,몰래,Missing
